rung,fold,seed,source,n_rows,n_positive,positive_prevalence,mean_predicted_proba,std_predicted_proba
tfidf-lr,2,42,injecagent,62,62,1.0,0.07653229731442328,0.06587128919599193
tfidf-lr,2,42,jbb_behaviors,200,100,0.5,0.07781320361114133,0.10231522400616308
tfidf-lr,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.432430890295295,0.28563793245497127
tfidf-lr,2,42,notinject,339,0,0.0,0.23255057389470526,0.21336515448170473
tfidf-lr,2,42,xstest,450,200,0.4444444444444444,0.10323971286267282,0.08425220877170884
tfidf-lr,2,43,bipia,50,50,1.0,0.1069625243571981,0.10400413956539714
tfidf-lr,2,43,injecagent,62,62,1.0,0.07176534307880113,0.05511352298009966
tfidf-lr,2,43,jbb_behaviors,200,100,0.5,0.07799497237536585,0.10682112447740205
tfidf-lr,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.44095086773398384,0.28697283922283134
tfidf-lr,2,43,notinject,339,0,0.0,0.2387039088688574,0.2273610366103484
tfidf-lr,2,43,xstest,450,200,0.4444444444444444,0.10362777319608585,0.08660399109026927
tfidf-lr,2,44,bipia,50,50,1.0,0.09653762189569796,0.08453606609286833
tfidf-lr,2,44,injecagent,62,62,1.0,0.08327205791967224,0.07112572438948883
tfidf-lr,2,44,jbb_behaviors,200,100,0.5,0.08035034335780468,0.09935792299303509
tfidf-lr,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.4448854625950734,0.28726787916828933
tfidf-lr,2,44,notinject,339,0,0.0,0.23632056480429306,0.21828307805364927
tfidf-lr,2,44,xstest,450,200,0.4444444444444444,0.10549088019529872,0.08654990308836533
tfidf-lr,3,42,bipia,50,50,1.0,0.11796975128146875,0.08319033046281141
tfidf-lr,3,42,hackaprompt,1650,1650,1.0,0.6815269888829668,0.2342032024164577
tfidf-lr,3,42,injecagent,62,62,1.0,0.1837560809497589,0.16826273647323484
tfidf-lr,3,42,jbb_behaviors,200,100,0.5,0.15350811967562072,0.1774616723310565
tfidf-lr,3,42,notinject,339,0,0.0,0.3473216478764927,0.23573856618731784
tfidf-lr,3,42,xstest,450,200,0.4444444444444444,0.18601587631819927,0.12747239022978168
tfidf-lr,3,43,bipia,50,50,1.0,0.13318654185670306,0.10036066264246463
tfidf-lr,3,43,hackaprompt,1650,1650,1.0,0.6504338665144083,0.25163174562286855
tfidf-lr,3,43,injecagent,62,62,1.0,0.21261303688540226,0.18402276250218094
tfidf-lr,3,43,jbb_behaviors,200,100,0.5,0.1478805650976459,0.1719549417024866
tfidf-lr,3,43,notinject,339,0,0.0,0.33724367829134116,0.236796632141621
tfidf-lr,3,43,xstest,450,200,0.4444444444444444,0.19106138149729007,0.1303387604704036
tfidf-lr,3,44,bipia,50,50,1.0,0.08890476122892435,0.061359998852884276
tfidf-lr,3,44,hackaprompt,1650,1650,1.0,0.675045079513355,0.2374972466796307
tfidf-lr,3,44,injecagent,62,62,1.0,0.17194774694112977,0.16298183487969523
tfidf-lr,3,44,jbb_behaviors,200,100,0.5,0.1521131487286849,0.17622621876192918
tfidf-lr,3,44,notinject,339,0,0.0,0.34544334250118486,0.2391698325732906
tfidf-lr,3,44,xstest,450,200,0.4444444444444444,0.16965004632106828,0.1272746884837066
